I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I went to a wedding recently, and something happened that put a damper on it. I felt bad for my buddy, but at least he knows he can trust me.</s> Oh no, it's awful something happens on that special day that should be full of joy and whatnot.</s> Yeah, his wife got drunk and paid a pass at me. I told her to sober up, and let him know what had happened.</s>		<pad> That's a good thing. I hope he's ok.</s>		Yikes. Well, at least you did the right thing by passing that long, as painful as it might have been.</s>
Around town it seems like traffic has been horrible lately. Driving around town is just crazy.</s> People just don't seem to pay attention when they are in a hurry.</s> Yes, exactly! They are always speeding or cutting you off. And of course no blinker use!</s>		<pad> Oh no! I'm sorry to hear that.</s>		That's the part that bothers me the most. When they just cut in front of you with no warning.</s>
I once had a long walk home from the railway station with two very heavy bags. It turned out that another person had also missed the last bus and had to walk much of the journey with me as his home was in the same direction as mine. The two bags I had had some expensive DJ equipment but they were VERY heavy so when they guy who had to walk home the same way said he would help by carrying one of the bags I trusted him! He didn't disappoint, he helped me get home earlier and without a bad back; while the kindness of strangers made what a potentially bad night to a reasonably pleasant one - all down to trust!</s>		<pad> That's great! I'm glad you had a good night!</s>		What a nice guy. There are fewer and fewer of those every day.</s>
i was so furious when i found out that my best friend and girl friend had made out</s> Oh dear me.. So sorry to hear that! what did you do?</s> I have not confronted them. I am still thinking over it.</s>		<pad> I am sorry to hear that. I hope you are able to confront them.</s>		I really hope things work out for you my friend</s>
My Mother and I made plans to hang out and do lunch this past week.</s>		<pad> Oh wow, that sounds like fun! What did you do?</s>		Really?</s>
Tomorrow I start my new job teaching kids. I really hope it goes well!</s> Oh wow, now that really is exciting, congratulations! Did you get the grade level and subject you wanted?</s> I am teaching at a small private school, so I will be teaching all the subjects for 3rd grade. I am pretty excited, just nervous.</s>		<pad> I am sure it will go well.</s>		Teaching little humans will be such a joy. I really hope you enjoy it!</s>
Oh no, that sounds like an awful situation. What did you end up doing after that?</s> I stayed with her for about a year until I got my own apartment. We are getting an apartment together in a few months.</s> So exciting! It can be fun to have a roommate</s> She also has 2 daughters, 2 and 7, and a few crested geckos too so I'll have a bunch of roommates.</s>		<pad> That's great! I hope you have a great time together!</s>		I love that. Lots of new friends, haha</s>
I once walkd around the grocery store without knowing my fly was down.</s>		<pad> Oh no! I'm sorry to hear that. Did you get a new one?</s>		I think we've all done a version of that.</s>
I am hopeful that I will win my ebay bid</s> Best of luck! What are you bidding for</s> I am bidding on a rare comic book</s>		<pad> I have a rare comic book that I have never seen.</s>		Archie? marvel? dc?</s>
I went to my friend's niece's dance recital this weekend. I could not believe how well she did.</s>		<pad> Wow, that is amazing!</s>		Ive never been to one of those. Is she really young or is she like a professional dancer?</s>
I enjoy getting things done</s> What kind of things do you like to do?</s> I like to crochet and pay the bills</s>		<pad> I love crocheting.</s>		Why do you like to pay the bills, maybe you should just get a rich girl or guy to take care of it.</s>
I'm so happy summer classes are officially over and I'll be able to relax for a week!</s> Great what will you be doing during your time off?</s> I'm not even sure what to do with all this time! I guess I should relax or have some leisure time, but everything in me says to try and be productive even on break. It's that school mentality.</s>		<pad> I'm sure you will be able to do a lot of things during your time off.</s>		I agree with you,you'll feel good about yourself being productive!</s>
Something I did not expect from a neighbor, this morning he gave me some beautiful flowers</s> Wow, that is sweet of him, does he have a crush on you?</s> It was a nice gesture on his part. But I do not know</s>		<pad> I am sure he is a good guy.</s>		Huh, well maybe he is starting his campaign lol</s>
So I recently made buffalo wing sauce from a new recipe I found and it turned out great!</s> Oh wow, I love that kind of sauce</s> Me too! It only took 10 minutes to make and now I feel way more sure of myself when making it next time.</s>		<pad> That is so good! I hope you enjoy it!</s>		That isnt long at all</s>
A while back my cat knocked over and broke my mothers urn.</s> Oh I am so sorry. Cats can be very mischievous sometimes.</s> I was so mad for the longest time but I've gotten around to not being so made about it</s>		<pad> I'm glad you got around to it.</s>		Yea I feel you. At the end of the day you cant blame the cat. It didnt do this on purpose.</s>
There are times I feel a bit alone and down. My husband has to travel out of town for work quite often.</s>		<pad> I am sorry to hear that. I hope you are feeling better soon.</s>		Do you not have friends?</s>
I honestly think New Orleans is one of the most exciting places to live in the US. You never know what you are going to find around the corner.</s> Yes, it does seem like a fun place. I would love to go to the Mardi Gras.</s> Mardi Gras is great, but stuff happens every day. One time I was showing some friends around from out of town, and we heard some voices on the other side of a fence. We ducked through a hole, and found a bar with a full band playing - complete with couples swing dancing!</s>		<pad> I love Mardi Gras, but I'm not sure I'd go.</s>		That sounds like a lot of fun! I wish I would have seen it!</s>
My ex and I broke up because he decided that he would no longer be willing to leave his job from overwork, like 70 plus hours a week.</s> I am sorry. Breakups are the worst. Did he just not want to give up overtime or he worked 70hours always?</s> He claims that he kept getting raises and felt obligated to work even harder. So he just kept working more and more and I rarely got to spend time with him and he was always tired.</s>		<pad> I am sorry to hear that. I hope you get a better deal.</s>		That's rough but you deserve someone who is willing or wants to make the time for you. Never settle for less than what you are willing to settle for.</s>
I'm going overseas and I think I packed everything i need!</s> Where are you headed?</s> Going to Kazakhstan. That's where i was born. My parents still live there and i miss them so much</s>		<pad> I'm going to Kazakhstan. I'm going to be there for a few days.</s>		Great, I hope you have a nice trip. How long will you be staying?</s>
I was in a big party city and the street was crowded with people. As I was walking my foot got tangled up on something and I went face first into a huge flower bed.</s>		<pad> That's terrible. Did you get hurt?</s>		Ouch! That must have hurt.</s>
I was really mad when I walked out my door the other day to go to work and my neighbors big dog jumped up on me and knocked me over.</s>		<pad> That's terrible. I'm sorry to hear that.</s>		Did you get hurt?</s>
Had a job interview the other day.</s>		<pad> That's great. I'm glad you got the job.</s>		How did that go?</s>
Today when I went into my roommate's office to fix the internet, I noticed the collar of his old cat that passed away. I miss her.</s> I am so sorry to hear that. We need memories of our fur babies to help us in our grief.</s> Yeah, she wasn't my favorite cat, but I still miss her. Cancer sucks.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		People do not realize that Animals can get cancer too. Its more common than we may think.</s>
I took my son to kindergarten the other day. He loves it so far!</s>		<pad> That's great! What did he do?</s>		that is good! did he make any friends?</s>
I had a job interview that I didn't really feel prepared for.</s>		<pad> That's a shame. Did you get a job offer?</s>		That's rough. Did you end up getting the job?</s>
I did so much practice running in preparation for my 50 metre sprint race at my school!</s> Wow. Do you expect to win?</s> I do! I am so motivated to win and I believe I am one of the fastest at my school.</s>		<pad> I am sure you will!</s>		That is nice. Good luck.</s>
Even though I could've gotten more money at another job, I've stayed with my current employer. It is a good place to work.</s> well that's good to hear I guess. what do you do?</s> I work in public relations. I create campaigns for companies.</s>		<pad> I'm glad you like it.</s>		what's your most successful campaign so far?</s>
I'm so frustrated with my husband. He dismantled the bathroom to do repairs and still hasn't completed them six months later!</s> Six months! I would be so mad! What are you going to do about it?</s> He promised he would complete it within a month and since it's been so long, I called a contractor today!</s>		<pad> I'm sorry to hear that. I hope you get better soon.</s>		Good call! I would have done the same thing!</s>
My mom is so great! She is always there for me and her grandchildren. I can't think of anyone that loves us as much as she does!</s>		<pad> I am sure she will be there for you and your grandchildren.</s>		That is wonderful! Moms are truly a gift! I miss my Mom at times. We are workcamping in the mountains of NM and my Mom lives in TX.</s>
It's great to see my husband doing so well.</s>		<pad> That's great to hear. I hope he's doing well.</s>		I am glad to hear that! What is happening with him?</s>
Two years ago I got diagnosed with MS.</s>		<pad> That's great. What did you do?</s>		What'd MS?</s>
I can not believe that Donald Trump became President. It just goes to show you that anyone can become President in the United States.</s>		<pad> I am sure he will be a great president.</s>		I absolutely agree. I really hope he doesn't win in 2020.</s>
On a recent trip there was some bad weather that caused my flight to be delayed several hours. It was already late so i was afraid they would cancel the flight altogether.</s>		<pad> I'm sorry to hear that. I hope you had a great trip!</s>		That is no good! Did you manage to get on it?</s>
My dear friend Kris just started a job at a gorgeous golf resort on the shores of Lake Michigan. The green-eyed monster in me wants sooo badly to be there!</s>		<pad> That's great. I'm glad you got the job.</s>		You must be so proud!</s>
I was the captain of the volley ball team in middle school and high school, so I signed my daughters up to play. since they had an interest in it too. When we got the practice on the first day, the coach said that it was her first year coaching and she asked me if I would help a little.</s>		<pad> That's great. I'm glad you got to help.</s>		Oh thats awesome, im sure you were excited to help</s>
My parents are going to a tea room for their anniversary.</s>		<pad> That's great. What are you going to do?</s>		Did you plan the anniversary?</s>
A good friend was supposed to visit me this Summer, but he got a job and had to cancel.</s>		<pad> Oh no! I'm sorry to hear that. I hope you had a great time.</s>		Aw, that sucks. But at least he got a job, right?</s>
My four year old daughter came to me beaming with pride and showing me a drawing she did of me.</s>		<pad> That is so cool. I hope you have a great day.</s>		Isn't that the best! My 3 year old the same thing! I couldn't be happier or more proud!</s>
My cat jumped through the window in the basement and it was the most shocking, but ultimately underwhelming thing</s>		<pad> That is scary. I hope you had a good time.</s>		hahaha why was it underwhelming?</s>
A week before my cruise this summer, I was counting down the days with bated breath. I thought I would actually DIE before I got to go on it.</s>		<pad> That's a good feeling. I hope you have a great time.</s>		It's the worst waiting for vacations! You want the time before to go fast but then it to go slow during. Never works out that way, unfortunately.</s>
I just found a photo book of me and my family growing up.</s>		<pad> I love my family.</s>		Aw, that's awesome, did it bring back memories?</s>
I was watching my dad's house last week and I heard some odd noises while I was there alone.</s> I hate creepy stuff like that because I get paranoid.</s> No kidding! Once I came back to the kitchen and the faucet was running even though I hadn't touched it.</s>		<pad> Oh no! I'm sorry to hear that. I'm sorry to hear that.</s>		That sounds more odd than what I am used too. Hopefully nothing paranormal is going on.</s>
I recently found out the girl I love may not feel the same way. This makes me sad.</s> So sad,you can never force someone to love you. You will find the right person for you.</s> I hope so. Maybe one day, but I am not so sure.</s>		<pad> I hope so. I hope you find someone who is right for you.</s>		Don't give up on love.It the best feeling ever to experience. Wish you well.</s>
Once during an important school sporting event, my entire sports team was counting on me but mid-way through my event, my shorts fell down and I tripped</s> for real? that must've been embarrassing. Sorry to hear about that</s> yea! it was! I thought everyone would be annoyed at me but the next day when I went back to school, everyone just made it a joke so its alright. This was about 5-6 years ago now haha</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		well that's good and bad. hopefully the joke didn't carry on too long</s>
My coworker forgot to turn in the paperwork to switch our on call weeks. He ended up costing me $250! I'm so mad!!!</s> Oh my gosh! I would be furious as well.</s> He's such a worm. I can't stand it.</s>		<pad> I'm sorry to hear that. I hope you get better soon.</s>		I am sorry that happened. Don't do him any favors.</s>
I had a video job interview. That was a new experience.</s>		<pad> That is great. I hope you had a great experience.</s>		I've done one of those before. They are pretty cool. Do you think you will get the job?</s>
My dear friend Kris just started a job at a gorgeous golf resort on the shores of Lake Michigan. The green-eyed monster in me wants sooo badly to be there!</s> You must be so proud!</s> I am, but it's so gorgeous and it's a fantastic golf course. And I'm stuck here, bored stupid! I know, I'm being selfish.</s>		<pad> I'm sorry to hear that. I hope you have a great time!</s>		I don't think you're being selfish, you're doing your best!</s>
I gave my friend some money that she said she would pay back but she hasn't yet.</s>		<pad> That's great. I hope she pays back the money.</s>		I hate when that happens!</s>
Recently, I received the news about my ex boyfriend's relapse.</s> Oh no! :( How are you taking it?</s> It's definitely a hard situation to take in. He had stopped using when we started dating and was off it for 2 years until we broke up. It's very discouraging.</s>		<pad> I'm sorry to hear that. I hope you are ok.</s>		Dang. Please don't blame yourself.</s>
I'm so happy to be able to spend time with my best friend. I was not feeling good and she came over and cheered me up</s> That's nice of her! It's always good to have friends to fall on</s> yes, and she also helped me out and paid one of my bills when i was struggling with money</s>		<pad> That's great! I hope you have a good day!</s>		Oh, that's even better. That's truly a friend you can rely on. You're very fortunate.</s>
i feel that with my training lately im going to win my next week soccer game</s>		<pad> That's great! I'm sure you will.</s>		I'm sure you'll do great! How long have you been training?</s>
So I interviewed for my dream job last week and I didn't get it.</s>		<pad> Oh no! I hope you get it!</s>		I'm sorry to hear that. Hopefully something similar comes along sooner than later.</s>
I recently went on a trip with a woman I adore. The trip ended poorly, though, and things have not been the same since.</s>		<pad> That's sad. I hope you have a good trip.</s>		I hate to hear that, what happened that made it end poorly?</s>
I was digging through some old stuff I had and I found letters that my wife wrote me when we were still dating. They were so sweet.</s> Aww. Thats nnice</s> Yeah! It gave me all of the feels. I read through them and pretty much fell in love with her all over again.</s>		<pad> I bet you were so happy!</s>		No one writes letters anymore... its kind of sad</s>
I recently found out that I am having baby number 4.</s> No way! Congrats! I'm having twins sometime this coming week</s> Wow! That is great. We were thrilled because we didn't know if we were going to have anymore and nature just decided for us.</s>		<pad> That's great! I hope you have a great pregnancy!</s>		That's nice! Kids are great</s>
I bought a load of German chocolate bars in Aldi. I then ate too many of them. I shouldn't have done that - no self-control!</s> It happens to the best of us. It would be great if they did not make us gain weight.</s> It was sheer greed, I'm afraid. I know everyone has their moments, but I really shouldn't have done that.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Well you have to live a little every now and then. I'm sure it was worth it, haha.</s>
My wife has a big birthday coming up and I've got a great weekend all laid out for her.</s>		<pad> That's great. I hope she's happy.</s>		Oh how exciting! What do you have planned?</s>
My mother in law got to eat Qdoba today, one of my favorite places I haven't had in awhile</s>		<pad> I'm glad she enjoyed it.</s>		Qdoba is the BOMB! Although, I think I prefer Chipotle slightly more.</s>
I have an amazing husband who is always there for me no matter what</s> That sounds amazing! How'd you guys meet?</s> He was my sisters, husbands roomate in college and he came down for their wedding and we met there. I can't imagine my life without him</s>		<pad> That is so sweet! I hope you guys have a great marriage!</s>		Oh wow, that's awesome. Is your sister as happy with her husband as you are with yours?</s>
i paid all my bills today, i feel so relived and good</s> Every little accomplishment counts! What bills did you have to pay?</s> rent and electricity. we've been struggling financially so it's such a relieve to pay bills</s>		<pad> That's great! I hope you have a good week!</s>		Sorry to hear that. Well, at least this will be a weight off your shoulders.</s>
Me and my family went to see a magic show for the first time today.</s>		<pad> That's awesome! What did you see?</s>		I bet that was fun, who did you go see?</s>
I recently had intercourse with somebody that I hate. I feel terrible.</s>		<pad> I'm sorry to hear that. What happened?</s>		That sounds awful. Are you going to see them again?</s>
I've done one of those before. They are pretty cool. Do you think you will get the job?</s> I'm not sure. It was a little awkward and stressful.</s> I'm sorry to hear that. I'll pray for you if that's okay and then maybe you will get it, but if not, maybe something even better will come along.</s> Sure, that's ok. And thank you.</s>		<pad> I hope so. I'm sure you will get it.</s>		Great. And you're very welcome. I enjoy praying for other people.</s>
I know things will work out in God's perfect timing</s>		<pad> That's great. I hope things work out for you.</s>		Yes, I agree, are you hoping for something in particular.</s>
not yet ready for the baby, need fix up his room</s>		<pad> I am sure he will be happy.</s>		OK,have you done the need full?</s>
I was soooo excited to take our kids to Disneyland for the first time!</s> ooo they are gonna love it, just its expensive, I remember when it was only $20 to get in.</s> Same! I was excited because I grew up going there. My grandparents lived in Tucson, and we would spend the summers with them -- the most exciting part being our drive to Disneyland each year!</s>		<pad> I remember going to Disneyland with my grandparents. I was so excited.</s>		Which one are you going to California or Florida?</s>
This week was the last one for this semester of my college courses</s> That is awesome, what degree are you working towards?</s> Healthcare administration, only 6 months left! I get so antsy waiting to see the final grades, it drives me crazy</s>		<pad> I am sure you will be able to do great!</s>		I can imagine, waiting sucks!</s>
When I heard Anthony Bourdin had taken his own life, I was so shocked and upset. He gave so much pleasure to a lot of people, yet was miserable in his own life.</s>		<pad> That is so sad. I hope you are able to forgive him.</s>		I think we never really know what is going on inside people's mind. Celebrities like Anthony and Robin Williams seems to live a good life, but in reality, they are suffering.</s>
Every time I look through older photos of my children, I'm taken right back to the time they were that size, and what we were doing! It's a bittersweet feeling, for sure.</s> Oh, it sure is, I feel the same way. They grow up so fast!</s> Are your kids adults now?</s>		<pad> I'm sure they are growing up fast!</s>		One of them is! I have an 18 year old and a 12 year old.</s>
My daughter caught me in a bad mood the other day and was being a bit argumentative. I lost my temper, yelled and really hurt her feelings. I felt bad that it happened.</s>		<pad> I'm sorry to hear that. I hope she is okay.</s>		Oh that sucks. Those are the types of situations where you can't help it, but you know you did wrong the second after it's over.</s>
My boyfriend cancelled our date last week to go to the movies with his female best friend...</s> How did that make you feel?</s> Annoyed. I feel like he chooses her over me a lot. I hate feeling like I have to compete with her.</s>		<pad> I am sorry to hear that. I hope you get to see her again soon.</s>		I understand! I would feel the same way.</s>
I am so happy it's a boy</s>		<pad> I am sure he will be a good boy.</s>		You just had a baby?! I didn't even know you were expecting!</s>
my family came to visit recently, i always get so nervous about people visiting.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		That is</s>
I recently had an argument with a friend. Even though I talked ot her about it and let her know how I felt, my daughter overheard me discussing it with my husband. She thought I was being two faced, which lead to a long discussion. I felt guilty even though I didn't do anything wrong.</s> Sounds like you were just misunderstood. I discuss things with my husband, too, and it's not like talking behind someone's back. That's what married couples do. Don't feel bad.</s> Yeah, I just felt like I set a bad example for my daughter, even thought she misunderstood. I guess it was a teachable moment though..</s>		<pad> I'm sorry to hear that. I hope you don't feel guilty.</s>		Yes, just tell her your home is a safe place to talk. It's okay to open up in the family.</s>
College is starting soon and I'm feeling like I'll be able to stay on top of homework this semester!</s> That is good. Will it be a difficult semester?</s> It probably will be, as I'm studying engineering. I feel confident that I won't procrastinate as much this time though!</s>		<pad> I hope so! I'm glad you're doing well!</s>		That is good. I am sometime a procrastinator.</s>
I almost got in a fight in a drive-thru lineup.</s>		<pad> That's a tough one.</s>		What happened? Did someone bump on your car?</s>
I waited for a good friend of mine at a local pub recently - 2 hours I waited. Eventually I got hold of him and he said he couldn't be bothered going out and had forgotten to call. Not too impressed, frankly.</s> What did you do after waiting for 2 hours?</s> I bought a pint of beer and a curry and joined another single woman at a table. We had a fine time, but I sure am wondering about my friendship!</s>		<pad> That's a good feeling. I'm glad you had a good time.</s>		Silver linings do happen, maybe is was a good thing your friend forgot about you.</s>
Two years ago we decided to sell off almost everything we owned and move into our RV so we could travel full-time. I was really scared and worried about literally everything lol.</s>		<pad> That's great. I'm glad you're doing well.</s>		Oh wow that is a huge commitment! How did it go?</s>
Starbucks always get's my order wrong!</s>		<pad> I'm sorry to hear that.</s>		I like Starbucks. But they're a little expensive for me to go there often.</s>
I was trying to take a nap the other day and my neighbor wouldn't shut her tiny barky dog up.</s> I totally feel you on that. I swear my neighbors have to be the loudest at night slamming their car doors and yelling outside right in front of my bedroom window.</s> Ugh, that's the worst. Thankfully we're on the second floor so we don't have to deal with car noise too much.</s>		<pad> I'm glad you're able to get away from that.</s>		My bedroom is first floor, and literally maybe 4 feet from the parking lot. Lucky me. Lucky you tho too with animals. lol</s>
I was doing some freelance website work for a friend of mine and I did a lot of work for it. Sadly, it didn't do as well as we had expected it to do, even though I put my best work and most effort into it.</s> Oh that's not good. It is hard to put all your effort in and have it go nowhere</s> It is. We're in the process of revamping and coming up with some new and different ideas so hopefully we can do some revisions and get better results.</s>		<pad> I'm sorry to hear that. I hope you get better results.</s>		Sometimes revamping leads to more amazing results than you could have orginially anticipated</s>
I saw a huge spider in my car yesterday. I scared me so!</s>		<pad> That's scary. Did you get scared?</s>		That is frightening! especially if you didn't know whether it was a harmful spider or not! What did you do?</s>
My wife just went out of town for school for 2 months. I don't really know anyone here, so I don't know what I'm going to do while she's gone.</s> It is an excellent opportunity, to know other people and places, to open up to the possibility, I assure you that it will go to you very well</s> I'm sure it is great for her, but it makes me feel a little unsure of what to do with myself.</s>		<pad> That is great, I hope you have a great time.</s>		You do the same thing... the opportunity is for both</s>
How does that make you feel?</s> I wish I were with them. I love Italy</s> I've never left the US. I've never been north of Kentucky.</s> Oh wow! You are missing out. I love traveling and seeing the world.</s>		<pad> I've never been to Italy. I've never been to Italy.</s>		I've spent my life turning my home into where I want to be, instead of where I want to leave.</s>
I was so blissful after the births of both my girls. Such a sense of peace and relief on both a mental and physical level!</s>		<pad> That's great. I'm glad you had a great birth experience.</s>		I wish I could relate. I'm a male, so I'll never know the pain and/or the reward that comes with growing a human being inside your body. It's such an impressive thing to go through, and no matter what, mothers will never get enough credit. You deserve serious props. What ages are they now?</s>
The other night I was just craving candy. I ate up all that we had!</s> Oh, wow. Its like that sometimes. You have to give into your sweet tooth.</s> Sometimes you just have to! It felt so great then but I hated it the next morning!</s>		<pad> I know what you mean. I'm sorry to hear that.</s>		Ugh, I hate the regret that comes with giving into food cravings. Don't be too hard on yourself. It was just one time.</s>
My sister graduated from college after a long road of persistence and determination.</s>		<pad> That's great. I hope she's doing well.</s>		That is great, I bet she is very proud of herself.</s>
I am expecting my first child. It is going to be a boy! We are preparing the nursery and getting everything in order for his arrival!</s>		<pad> That is exciting! What is he going to do?</s>		Must be such an exciting time for your family!</s>
One time I studied my butt off for my first psychology exam. It was hard and I studied all night.</s>		<pad> That's a lot of work. Did you do well?</s>		How did you do</s>
I have problems with the city and their constant tax increase on my property.</s>		<pad> I am sorry to hear that. Is there a way to get rid of them?</s>		I know how you feel, it's terrible. I actually moved to a completely different state due to hi taxes.</s>
I'm seeing my orthopedic surgeon soon and he'll tell me if he can operate on my hip. I so hope he says yes, but the suspense is killing me!</s> Oh man! What happened to your hip?</s> I fell and fractured it two years ago. My then surgeon botched the operation and I have to use a walker to get around. If this new guy can do something I could walk properly again!</s>		<pad> I hope so! I'm sorry to hear that.</s>		Oh my god..I had doctors really mess me up too. I am in a lawsuit. Have you thought about contacting an attorney?</s>
I am a really picky eater, and now my favorite restaraunt is ruined for me.</s> Why? What happened? I hope you didn't get food posioning.</s> No poisoning, but my burger had a long hair in it, so I couldn't eat it.</s>		<pad> I hope you didn't get poisoned.</s>		Oh gosh, that is gross! Maybe tell the manager so he can make it right, and make sure his staff is doing things to health codes!</s>
I'm going overseas in 2 weeks! I will be on vacaion for 1 months and I just CAN NOT wait@</s>		<pad> I am so excited! Is it a vacation?</s>		Oh I just did that recently. I just got back from 2 months. It will be a fantastic time.</s>
My boss told me about a potential job opportunity and I've been waiting to hear if it's going to happen</s>		<pad> That's great. I'm glad you're interested.</s>		nervous?</s>
Had a good day today, i think i was prepared for everything. how has your day been?</s>		<pad> I hope you had a good day.</s>		I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!</s>
I was really frightened the other night. I was home alone and there was a big storm.</s>		<pad> That's scary. What did you do?</s>		There is a big storm coming where I am living now. Did your power go out?</s>
My husband ran over a cat this morning on accident, I'm so upset.</s>		<pad> I'm sorry to hear that. I hope you don't have to worry about it.</s>		Aw, I bet he feels horrible about it. Poor kitty!</s>
When I bought my new car, I couldn't believe how smooth the ride was.</s>		<pad> Wow, that's awesome! What kind of car did you buy?</s>		I do love a smooth ride. What kind of car is it?</s>
I've been thinking about buying some new, softer skateboard wheels.</s>		<pad> I'm sure you will like them.</s>		What makes you want to get softer wheels? Are those harder to skateboard on?</s>
I wish I had money. Then she'd sit with me instead of him</s>		<pad> I wish I had money.</s>		Sit where?</s>
I went outside to get my paper this morning. Someone had ran over my mailbox!</s>		<pad> Oh no! Did you get it?</s>		O no! Can you fix it?</s>
No matter how many times I told her that I didn't do it, my roommate insisted that I ate her ice cream last night! Unbelievable!</s> Well, did you eat her ice cream?</s> I certainly would have liked to, but I'm lactose intolerant! If I had eaten it, I would have been so miserable that there's no way she would've mistaken it.</s>		<pad> Oh no! I'm sorry to hear that. I hope you're okay!</s>		I wonder who actually ate it then.</s>
I wish I had money. Then she'd sit with me instead of him</s> Sit where?</s> In the club</s>		<pad> I'm sorry to hear that.</s>		The club isn't a great place to find the right kind of girl anyways.</s>
The other day I had a deep craving for Chik-Fil-A.</s>		<pad> Oh wow, that sounds like a good idea.</s>		I understand that one,they are my favorite place to eat</s>
I stayed alone at night in a office due to excessive work and was much scared.</s>		<pad> That is scary. I'm sorry to hear that.</s>		Just you. No security?</s>
I received a wrong number call last night at 2 in the morning.</s> Ugh! I'm assuming that it woke you up?</s> Yes! It was so aggravating. They would not believe me when I kept telling them it was the wrong number.</s>		<pad> I'm sorry to hear that. I hope you get a better answer.</s>		Oh my goodness!! How irritating! I hope they didn't call back?</s>
My dog keeps having accidents in the house! I'm getting fustrated.</s> It could be a medical problem. Make sure its checked out.</s> Thank you, I will. I think she is doing it to mark her territory, it started when we brought a new dog home.</s>		<pad> I'm sorry to hear that. I'm sure you will be fine.</s>		Ohh I see. That is super annoying. Hopefully she gets over this phase and they get along.</s>
When I go up with my skydiving students I feel proud when they do well</s> I'd imagine so. How long have you been a sky diving instructor for?</s> I have been instructing for 12 years but skydiving for 25</s>		<pad> I've been skydiving for 25 years. I'm sure you'll be proud of them.</s>		Aweseme. I want to go skydiving sometime.</s>
There was an elderly lady at my church who was blind and could not hear well so you had to talk really loud for her to hear you. She was very faithful about coming to church so our preacher picked her up and took her home for every service. When she needed help, we took turns helping her.</s> That is so nice of you all! I know she appreciates it.</s> When I saw that she needed help, I always tried to give her directions based on where she was with her walker. I liked helping her. She recently passed away and I miss her.</s>		<pad> I am sorry to hear that. I hope you are able to find her again soon.</s>		Aww, I'm so sorry but know you made a difference in her life.</s>
I just about had a figurative heart attack the other night.</s> What happened?</s> I woke up in the wee hours and thought I saw a person standing in the corner of my room. It was just some clothes hanging on a door.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Oh wow, I would of been terrified!</s>
i didn't see my parents since 2014! I miss them so much. it's so sad that i live in a different country</s>		<pad> I'm sorry to hear that. I hope you get to see them again soon.</s>		When will you be able to visit?</s>
My husband was teaching me how to make a steak. The flame was so warm!</s>		<pad> That is so cool!</s>		That sounds like a fun thing to do as a couple.</s>
I was doing a presentation for work, and tried to tell a story about something kind of related to break the ice. No one laughed or even really cracked a smile, so it put me off for the rest of the presentation.</s> That is no fun, you always hope that first one hits so they are more receptive the rest of the time</s> Yeah, and I really thought it was a decent story. Nothing ground breaking, but at least should have gotten a chuckle.</s>		<pad> I hope you get a chuckle.</s>		Well there is always next time!</s>
I was SO excited the first time we were going to make an overseas move! I looked so forward to what I knew would be a life-changing adventure!</s>		<pad> That's great! What kind of country are you moving to?</s>		That is pretty awesome, I know if I ever got the chance it would change my life as well.</s>
My four year old daughter came to me beaming with pride and showing me a drawing she did of me.</s> Isn't that the best! My 3 year old the same thing! I couldn't be happier or more proud!</s> I was really surpised. I expected a stick figure, but she drew a lot of features including my beard and mustache.</s>		<pad> I bet she was very proud of you.</s>		She may be a natural artist!</s>
We need to come together as a country and be united and solve our issues, no matter your views.</s> I totally agree. People are too divided by their political views these days.</s> Exactly, let's comprimise and decide on things before it's to late!</s>		<pad> I agree, we need to come together and solve our problems.</s>		Everyone is always fighting over these things, it's a sad thing to see.</s>
I received a phone call the other day from a friend I hadn't heard from in ages.</s> Oh wow, I bet that was nice. Hopefully y'all had a good talk.</s> We reminisced about old times. It was very nice, indeed. It was nice hearing from him, especially during some rough times!</s>		<pad> I hope you had a good time.</s>		Well, that is fantastic. Hopefully y'all will be able to meet up in the future real soon too.</s>
I am very excited for the arrival of our 7th grandbaby!</s>		<pad> That's great! What is your baby's name?</s>		oh that's great. You must be the luckiest granddad in the whole world</s>
Wandering around my little area of the world I am quite pleased with the variety of stores and restaurants here. I didn't expect it.</s> That's good. I live in a small town but we have a big shopping center across the street and there are all the stores i love</s> Nice! You just don't expect it in a rural area. Well, I didn't anyway. We have large grocery stores and a little (but very good) organic grocery store. Quite incredible.</s>		<pad> I'm glad you like it.</s>		wow even organic store? that's pretty cool</s>
I saw a picture of a dog on reddit that looked a lot like mine so I called out the person saying it was a picture of my dog, but it turned out I was wrong. Whoops.</s>		<pad> That's a shame. I'm sorry to hear that.</s>		Thar was an embarasing moment for sure</s>
I am so not ready for this baby. The wife is due next week, and I'm really uncertain that I'm gonna be a good dad or that we'll have enough to provide for her.</s>		<pad> I am so sorry to hear that. I hope you are able to make it through this.</s>		You will be fine. Its going to be hard but dont beat yourself up over it.</s>
